hello :-)!	Running Time: 0.000000
[(0.04507721960544586,), (0.03629516065120697,)]	Running Time: 0.006760
[(0.04507787898182869,), (0.03628627210855484,)]	Running Time: 0.017918
[(0.04507653787732124,), (0.03628939017653465,)]	Running Time: 0.023675
[(0.045178718864917755,), (0.0352279432117939,)]	Running Time: 0.031954
[(0.04507584869861603,), (0.036301497370004654,)]	Running Time: 0.039889
[(0.04508085176348686,), (0.03630385920405388,)]	Running Time: 0.049621
[(0.04508743807673454,), (0.03629535436630249,)]	Running Time: 0.056799
[(0.0450795441865921,), (0.03629126772284508,)]	Running Time: 0.064717
[(0.04508858919143677,), (0.036295391619205475,)]	Running Time: 0.073174
[(0.04509034752845764,), (0.036298029124736786,)]	Running Time: 0.085243
[(0.0450802706182003,), (0.03630099818110466,)]	Running Time: 0.090866
[(0.04507184401154518,), (0.03628842160105705,)]	Running Time: 0.103968
[(0.0450802817940712,), (0.03629821911454201,)]	Running Time: 0.106808
[(0.04510040581226349,), (0.03628835454583168,)]	Running Time: 0.117721
[(0.045195166021585464,), (0.03529203683137894,)]	Running Time: 0.123851
[(0.045196324586868286,), (0.03539881482720375,)]	Running Time: 0.131725
[(0.04522472992539406,), (0.035414133220911026,)]	Running Time: 0.141042
[(0.04507436603307724,), (0.036302704364061356,)]	Running Time: 0.149025
[(0.045062772929668427,), (0.03630223497748375,)]	Running Time: 0.165532
[(0.045049961656332016,), (0.03630444034934044,)]	Running Time: 0.171175
[(0.04505737125873566,), (0.03629863262176514,)]	Running Time: 0.173825
[(0.045321911573410034,), (0.03530687838792801,)]	Running Time: 0.182214
[(0.04507199302315712,), (0.036291640251874924,)]	Running Time: 0.190225
[(0.04507387802004814,), (0.0362912081182003,)]	Running Time: 0.200960
[(0.045087780803442,), (0.03543858975172043,)]	Running Time: 0.212996
[(0.04508556053042412,), (0.03630127012729645,)]	Running Time: 0.221859
[(0.0452612079679966,), (0.03537243977189064,)]	Running Time: 0.226252
[(0.045070044696331024,), (0.03628924861550331,)]	Running Time: 0.235130
[(0.04507904499769211,), (0.03629240021109581,)]	Running Time: 0.242717
[(0.04508547484874725,), (0.036303624510765076,)]	Running Time: 0.248668
[(0.04509648308157921,), (0.03629530966281891,)]	Running Time: 0.256610
[(0.04519762843847275,), (0.03538557514548302,)]	Running Time: 0.270789
[(0.04507715255022049,), (0.03629724681377411,)]	Running Time: 0.273946
[(0.045089248567819595,), (0.03629067912697792,)]	Running Time: 0.281714
[(0.0450780987739563,), (0.03628842160105705,)]	Running Time: 0.292443
[(0.04507726430892944,), (0.0362967886030674,)]	Running Time: 0.300819
[(0.04523150995373726,), (0.03557635098695755,)]	Running Time: 0.308979
[(0.04508933797478676,), (0.03629403933882713,)]	Running Time: 0.320825
[(0.0451730377972126,), (0.035461291670799255,)]	Running Time: 0.329155
[(0.045256100594997406,), (0.035386160016059875,)]	Running Time: 0.334488
[(0.04505710303783417,), (0.03629375249147415,)]	Running Time: 0.355598
[(0.04507363215088844,), (0.03630192577838898,)]	Running Time: 0.363788
[(0.04525664448738098,), (0.03543587401509285,)]	Running Time: 0.363841
[(0.045237015932798386,), (0.035491205751895905,)]	Running Time: 0.365864
[(0.04519902542233467,), (0.03539174422621727,)]	Running Time: 0.373585
[(0.04522386193275452,), (0.03550579026341438,)]	Running Time: 0.383610
[(0.04506219923496246,), (0.036297205835580826,)]	Running Time: 0.391353
