hello :-)!	Time Interval: 1479086849.711410	Running Time: 0.000000
[(1.628714680671692,), (0.7693188786506653,)]	Time Interval: 0.005870	Running Time: 0.005870
[(1.6286823749542236,), (0.7691441178321838,)]	Time Interval: 0.008192	Running Time: 0.014062
[(1.628700852394104,)]	Time Interval: 0.008144	Running Time: 0.022206
[(0.7690011262893677,)]	Time Interval: 0.002077	Running Time: 0.024283
[(1.6287109851837158,), (0.7694382071495056,)]	Time Interval: 0.007141	Running Time: 0.031424
[(1.6287137269973755,), (0.769411027431488,)]	Time Interval: 0.007995	Running Time: 0.039419
[(1.62871253490448,)]	Time Interval: 0.008047	Running Time: 0.047466
[(0.7689717411994934,)]	Time Interval: 0.001840	Running Time: 0.049306
[(1.6287187337875366,), (0.7689638137817383,)]	Time Interval: 0.007737	Running Time: 0.057043
[(1.6287477016448975,), (0.7690426707267761,)]	Time Interval: 0.008356	Running Time: 0.065399
[(1.6286935806274414,)]	Time Interval: 0.007188	Running Time: 0.072587
[(0.7691383957862854,)]	Time Interval: 0.000039	Running Time: 0.072626
[(1.6286743879318237,), (0.7688812613487244,)]	Time Interval: 0.008289	Running Time: 0.080915
[(1.6286801099777222,), (0.768958330154419,)]	Time Interval: 0.008300	Running Time: 0.089215
[(1.6286952495574951,)]	Time Interval: 0.008427	Running Time: 0.097642
[(0.7689288854598999,)]	Time Interval: 0.000037	Running Time: 0.097679
[(1.6287308931350708,), (0.7689771056175232,)]	Time Interval: 0.008019	Running Time: 0.105698
[(1.6287212371826172,), (0.7688125967979431,)]	Time Interval: 0.009041	Running Time: 0.114739
[(1.6286956071853638,)]	Time Interval: 0.007832	Running Time: 0.122571
[(0.7692931890487671,)]	Time Interval: 0.001941	Running Time: 0.124512
[(1.6287307739257812,), (0.7692378163337708,)]	Time Interval: 0.006955	Running Time: 0.131467
[(1.6287111043930054,), (0.7692746520042419,)]	Time Interval: 0.007777	Running Time: 0.139244
[(1.6287227869033813,)]	Time Interval: 0.008492	Running Time: 0.147736
[(0.7693196535110474,)]	Time Interval: 0.000055	Running Time: 0.147791
[(1.6287097930908203,), (0.7693387269973755,)]	Time Interval: 0.008181	Running Time: 0.155972
[(1.6286916732788086,), (0.769324004650116,)]	Time Interval: 0.008141	Running Time: 0.164113
[(1.6287113428115845,)]	Time Interval: 0.008197	Running Time: 0.172310
[(0.7692672610282898,)]	Time Interval: 0.001927	Running Time: 0.174237
[(1.6287404298782349,), (0.7689811587333679,)]	Time Interval: 0.006853	Running Time: 0.181090
[(1.6287288665771484,), (0.7686901092529297,)]	Time Interval: 0.008075	Running Time: 0.189165
[(1.6287086009979248,)]	Time Interval: 0.014087	Running Time: 0.203252
[(0.7691909074783325,)]	Time Interval: 0.000072	Running Time: 0.203324
[(1.6286922693252563,), (0.7687045931816101,)]	Time Interval: 0.003282	Running Time: 0.206606
[(1.6286876201629639,), (0.7689635753631592,)]	Time Interval: 0.010370	Running Time: 0.216976
[(1.628677487373352,)]	Time Interval: 0.005591	Running Time: 0.222567
[(0.7689394950866699,)]	Time Interval: 0.000039	Running Time: 0.222606
[(1.628694772720337,), (0.7689510583877563,)]	Time Interval: 0.008246	Running Time: 0.230852
[(1.6286848783493042,), (0.769271194934845,)]	Time Interval: 0.008499	Running Time: 0.239351
[(1.6286886930465698,)]	Time Interval: 0.008242	Running Time: 0.247593
[(0.7690157890319824,)]	Time Interval: 0.001913	Running Time: 0.249506
[(1.6287380456924438,), (0.7688212990760803,)]	Time Interval: 0.006343	Running Time: 0.255849
[(1.6287435293197632,), (0.7687938809394836,)]	Time Interval: 0.009483	Running Time: 0.265332
[(1.6292771100997925,)]	Time Interval: 0.007083	Running Time: 0.272415
[(0.7686309814453125,)]	Time Interval: 0.001975	Running Time: 0.274390
[(1.6287310123443604,), (0.768993079662323,)]	Time Interval: 0.006810	Running Time: 0.281200
[(1.6287044286727905,), (0.7688079476356506,)]	Time Interval: 0.008248	Running Time: 0.289448
[(1.6287308931350708,)]	Time Interval: 0.008336	Running Time: 0.297784
[(0.7688721418380737,)]	Time Interval: 0.000039	Running Time: 0.297823
[(1.6287386417388916,), (0.7690335512161255,)]	Time Interval: 0.007977	Running Time: 0.305800
[(1.6286907196044922,), (0.7690346240997314,)]	Time Interval: 0.008261	Running Time: 0.314061
[(1.6287081241607666,)]	Time Interval: 0.008519	Running Time: 0.322580
[(0.7692508101463318,)]	Time Interval: 0.001989	Running Time: 0.324569
[(1.628692626953125,), (0.7687872648239136,)]	Time Interval: 0.007132	Running Time: 0.331701
[(1.6286574602127075,), (0.7688131332397461,)]	Time Interval: 0.007586	Running Time: 0.339287
[(1.6286592483520508,)]	Time Interval: 0.009162	Running Time: 0.348449
[(0.7689386010169983,)]	Time Interval: 0.000054	Running Time: 0.348503
[(1.6286547183990479,), (0.7692553997039795,)]	Time Interval: 0.008118	Running Time: 0.356621
[(1.6286391019821167,), (0.7689748406410217,)]	Time Interval: 0.008185	Running Time: 0.364806
[(1.6286431550979614,)]	Time Interval: 0.007668	Running Time: 0.372474
[(0.7691450119018555,)]	Time Interval: 0.001945	Running Time: 0.374419
[(1.628649353981018,), (0.7690668702125549,)]	Time Interval: 0.006309	Running Time: 0.380728
[(1.628642201423645,), (0.7690377831459045,)]	Time Interval: 0.008355	Running Time: 0.389083
[(1.6286836862564087,)]	Time Interval: 0.008762	Running Time: 0.397845
