hello,:-)!,Time,Interval:,1480562138.13259,Running,Time:,0,,,,,,,,,,,,,,,,,,,,,,Average Interval,Std Dev,Variance,Max,Min
[(582,,38,,15,,21,,4.7258281708,,1.6956479549,,1.9022325277,,-0.0022177109,,-0.0018211331,,0.0031838925,,0.999991238117218)],Time,Interval:,0.059996,Running,Time:,6.96001,,,0.0083295436,0.0023266301,5.41320741089393E-006,0.059996,0.00003
[(590,,38,,15,,21,,4.7258224487,,1.6957640648,,1.9022861719,,-0.0022717996,,-0.001865129,,0.0031067599,,0.999991238117218)],Time,Interval:,0.059649,Running,Time:,11.510564,,,,,,,
[(598,,38,,15,,21,,4.7258534431,,1.6957815886,,1.9021850824,,-0.0022444616,,-0.0017914689,,0.0030987656,,0.9999908804893494)],Time,Interval:,0.027665,Running,Time:,11.636033,,,,,,,
[(607,,38,,15,,21,,4.7258448601,,1.6957722902,,1.9021843672,,-0.0022267648,,-0.0018800629,,0.0030829667,,0.999991238117218)],Time,Interval:,0.026427,Running,Time:,13.001114,,,% Intervals Falls out of 6ms – 11ms range:,,,,
[(615,,38,,15,,21,,4.7259058952,,1.6957027912,,1.9022643566,,-0.0022905918,,-0.0016589133,,0.0031110705,,0.9999909996986389)],Time,Interval:,0.023943,Running,Time:,14.816007,,,0.0389027431,,,,
[(623,,38,,15,,21,,4.7258901596,,1.6957517862,,1.9022257328,,-0.0023520812,,-0.0017461039,,0.0030617113,,0.9999911785125732)],Time,Interval:,0.023815,Running,Time:,4.574063,,,,,,,
[(631,,38,,15,,21,,4.7259693146,,1.6957474947,,1.9022462368,,-0.0023750397,,-0.0017126874,,0.0030746951,,0.9999907612800598)],Time,Interval:,0.020484,Running,Time:,5.854547,,,,,,,
[(640,,38,,15,,21,,4.7258515358,,1.695761323,,1.9022437334,,-0.0023147876,,-0.001698686,,0.0029577978,,0.9999909400939941)],Time,Interval:,0.019552,Running,Time:,2.010958,,,,,,,
[(648,,38,,15,,21,,4.7259178162,,1.6957757473,,1.9022239447,,-0.0022673907,,-0.0018816895,,0.0031214729,,0.9999911189079285)],Time,Interval:,0.018632,Running,Time:,3.485568,,,,,,,
[(657,,38,,15,,21,,4.7257847786,,1.6956790686,,1.9022331238,,-0.0023145273,,-0.0018599356,,0.0031093869,,0.9999912977218628)],Time,Interval:,0.018254,Running,Time:,15.37716,,,,,,,
[(665,,38,,15,,21,,4.7259335518,,1.6957845688,,1.9022541046,,-0.0021885666,,-0.0017537281,,0.0029635741,,0.9999914169311523)],Time,Interval:,0.018125,Running,Time:,8.410716,,,,,,,
[(673,,38,,15,,21,,4.7259273529,,1.6956166029,,1.9022787809,,-0.002237136,,-0.0017468748,,0.0032606868,,0.9999913573265076)],Time,Interval:,0.017366,Running,Time:,12.250643,,,,,,,
[(682,,38,,15,,21,,4.7258710861,,1.6957700253,,1.9022135735,,-0.0021996549,,-0.0018610595,,0.0029639069,,0.9999909400939941)],Time,Interval:,0.017362,Running,Time:,16.175048,,,,,,,
[(690,,38,,15,,21,,4.7257962227,,1.6956156492,,1.9022437334,,-0.0022564533,,-0.0018908579,,0.0031450144,,0.9999907612800598)],Time,Interval:,0.016324,Running,Time:,3.290799,,,,,,,
[(698,,38,,15,,21,,4.7258958817,,1.695759058,,1.9022083282,,-0.0022192821,,-0.0018739809,,0.0031308145,,0.9999907612800598)],Time,Interval:,0.01627,Running,Time:,16.090798,,,,,,,
[(707,,38,,15,,21,,4.7259263992,,1.6957645416,,1.9022334814,,-0.0023714695,,-0.001736415,,0.002978625,,0.999991238117218)],Time,Interval:,0.015889,Running,Time:,9.690882,,,,,,,
[(715,,38,,15,,21,,4.725924015,,1.69574821,,1.9022324085,,-0.0022408583,,-0.0018019814,,0.0031576368,,0.9999911785125732)],Time,Interval:,0.014378,Running,Time:,13.530752,,,,,,,
[(723,,38,,15,,21,,4.7258434296,,1.6957629919,,1.9022371769,,-0.0021818145,,-0.0018202241,,0.0031862487,,0.9999911189079285)],Time,Interval:,0.014312,Running,Time:,7.130821,,,,,,,
[(731,,38,,15,,21,,4.7258138657,,1.6957041025,,1.9022654295,,-0.0022627551,,-0.0018283464,,0.0031124516,,0.9999909996986389)],Time,Interval:,0.014192,Running,Time:,0.730502,,,,,,,
[(740,,38,,15,,21,,4.7258648872,,1.6957720518,,1.9022071362,,-0.0023832133,,-0.0016462211,,0.0030470993,,0.9999918937683105)],Time,Interval:,0.013134,Running,Time:,13.029318,,,,,,,
[(748,,38,,15,,21,,4.7258467674,,1.6957873106,,1.9021992683,,-0.0022901883,,-0.0019604438,,0.0031085731,,0.9999904036521912)],Time,Interval:,0.01294,Running,Time:,9.655293,,,,,,,
[(757,,38,,15,,21,,4.7258892059,,1.6957727671,,1.9022189379,,-0.002231183,,-0.0018471819,,0.0030716683,,0.9999910593032837)],Time,Interval:,0.012797,Running,Time:,3.621206,,,,,,,
[(765,,38,,15,,21,,4.7259197235,,1.6957707405,,1.9022549391,,-0.0023831704,,-0.0016091287,,0.0030448688,,0.9999908804893494)],Time,Interval:,0.012655,Running,Time:,10.971072,,,,,,,
[(773,,38,,15,,21,,4.7258257866,,1.6957558393,,1.902230978,,-0.002211225,,-0.0019617511,,0.0031633226,,0.999991238117218)],Time,Interval:,0.012572,Running,Time:,2.620828,,,,,,,
[(782,,38,,15,,21,,4.7258868217,,1.6957366467,,1.9022583961,,-0.0023403824,,-0.0016812488,,0.003042022,,0.999990701675415)],Time,Interval:,0.012177,Running,Time:,13.013357,,,,,,,
[(790,,38,,15,,21,,4.7259249687,,1.6957957745,,1.9022732973,,-0.0020746884,,-0.0017630049,,0.0027037531,,0.9999913573265076)],Time,Interval:,0.012046,Running,Time:,7.454384,,,,,,,
[(798,,38,,15,,21,,4.7258887291,,1.6957709789,,1.9022014141,,-0.0022659856,,-0.0018714934,,0.0031790934,,0.9999921917915344)],Time,Interval:,0.011903,Running,Time:,15.503363,,,,,,,
[(807,,38,,15,,21,,4.7259378433,,1.695768714,,1.9022363424,,-0.0024136947,,-0.0016214743,,0.0031125026,,0.9999909400939941)],Time,Interval:,0.011021,Running,Time:,11.101925,,,,,,,
[(815,,38,,15,,21,,4.7259039879,,1.6956374645,,1.9022569656,,-0.0022228798,,-0.00175529,,0.0031899223,,0.9999909996986389)],Time,Interval:,0.010821,Running,Time:,10.602318,,,,,,,
[(823,,38,,15,,21,,4.7259616852,,1.6957632303,,1.9022592306,,-0.0024255023,,-0.0016518196,,0.0031196196,,0.9999910593032837)],Time,Interval:,0.010741,Running,Time:,13.44412,,,,,,,
[(831,,38,,15,,21,,4.725877285,,1.6957553625,,1.9022305012,,-0.0021657303,,-0.0017713787,,0.0029902037,,0.9999919533729553)],Time,Interval:,0.010638,Running,Time:,3.185319,,,,,,,
[(840,,38,,15,,21,,4.7258396149,,1.6957645416,,1.9022057056,,-0.0022497422,,-0.0019420657,,0.0030908154,,0.9999911785125732)],Time,Interval:,0.010564,Running,Time:,14.88502,,,,,,,
[(848,,38,,15,,21,,4.7258982658,,1.6956108809,,1.9022636414,,-0.0022492099,,-0.0018063802,,0.0032412445,,0.9999905824661255)],Time,Interval:,0.010489,Running,Time:,9.102047,,,,,,,
[(856,,38,,15,,21,,4.7259044647,,1.6957579851,,1.9022327662,,-0.0022094562,,-0.0017364452,,0.003106687,,0.9999914765357971)],Time,Interval:,0.010474,Running,Time:,11.701856,,,,,,,
[(865,,38,,15,,21,,4.7259268761,,1.695784688,,1.9022420645,,-0.0023608936,,-0.0016971059,,0.0029608251,,0.9999914169311523)],Time,Interval:,0.010463,Running,Time:,4.951813,,,,,,,
[(873,,38,,15,,21,,4.7258939743,,1.6957527399,,1.9022456408,,-0.0022996049,,-0.0016029822,,0.0029445754,,0.9999915957450867)],Time,Interval:,0.010456,Running,Time:,10.718835,,,,,,,
[(882,,38,,15,,21,,4.7258825302,,1.6957397461,,1.9021998644,,-0.0022520889,,-0.0018001467,,0.0031280112,,0.9999909400939941)],Time,Interval:,0.010445,Running,Time:,10.102069,,,,,,,
[(890,,38,,15,,21,,4.7259106636,,1.6957434416,,1.9022454023,,-0.0020845737,,-0.0017892633,,0.0028989459,,0.9999909400939941)],Time,Interval:,0.010431,Running,Time:,6.302271,,,,,,,
[(899,,38,,15,,21,,4.7258653641,,1.695756197,,1.9022132158,,-0.0022147968,,-0.0019361119,,0.0030919637,,0.9999908208847046)],Time,Interval:,0.010404,Running,Time:,2.984817,,,,,,,
[(907,,38,,15,,21,,4.7259049416,,1.6957535744,,1.9022228718,,-0.0022684718,,-0.0018524821,,0.0031850401,,0.9999913573265076)],Time,Interval:,0.010387,Running,Time:,10.38503,,,,,,,
